B,lp_bound,lp_round_obj,lp_round_bytes,bytes_over,n_nonzero_z,n_frac_x,two_stage_obj,two_stage_bytes,milp_obj,milp_ok,d,bpd,solve_s
1216,13.73559420620582,13.73559420620582,1216,0,5,0,15.081936305662946,1216,,False,1535,6.342632041709668,0.59
1084,15.082608258570303,15.082608258570303,1084,0,5,0,17.28506305133993,1084,,False,1499,5.789384189570162,0.59
153,135.62705875555514,134.3784162517385,155,2,8,0,140.5267093750299,153,,False,1233,0.9974019585534073,0.47
920,12.747965280587097,12.747965280587097,920,0,5,0,14.136673629876402,920,,False,1205,6.109147265516992,0.38
181,118.69534845650844,118.16368495021565,182,1,8,0,124.8628593300612,181,,False,1186,1.225845345906197,0.44
245,98.48248681547908,98.48248681547908,245,0,8,0,103.82493554429465,245,,False,1320,1.4900841694676115,0.54
197,142.09033698982537,140.97982636868832,199,2,8,0,148.22408705017503,197,,False,1353,1.169647674919931,0.57
413,57.78209910609358,57.78209910609358,413,0,7,0,61.49740125968601,413,,False,1235,2.681526793577526,0.51
136,169.56170815974232,168.7844308800515,137,1,8,0,176.11934037299952,136,,False,1282,0.8509092497306657,0.5
462,36.176798120461555,35.93452581128218,464,2,7,0,38.73016935229833,462,,False,1133,3.269193197731207,0.43
770,25.217340174433353,25.217340174433353,770,0,6,0,28.784792341358404,770,,False,1377,4.477890736477773,0.62
802,28.175185885710444,28.032065071006624,804,2,6,0,31.048181989139596,802,,False,1469,4.369308219794294,0.69
267,90.490161032623,90.490161032623,267,0,8,0,95.70487498907056,267,,False,1275,1.6795406247987357,0.53
602,41.53028243675308,41.40956893760841,603,1,6,0,44.274761370220816,602,,False,1396,3.4551924723429472,0.64
749,21.206287515471253,21.206287515471253,749,0,6,0,23.986098910603566,749,,False,1323,4.531243776287037,0.56
844,14.02474003544217,14.02474003544217,844,0,5,0,15.888394142513231,844,,False,1214,5.56332720728217,0.43
860,11.674217290555285,11.648510837802625,861,1,5,0,12.810714312120599,860,,False,1134,6.067385452378793,0.36
751,15.451807981549715,15.451807981549715,751,0,6,0,17.124710745923622,751,,False,1167,5.150839063203945,0.41
1351,11.58832370736495,11.58832370736495,1351,0,5,0,11.97578716056418,1351,,False,1492,7.247590275591908,1.95
408,78.46927843159484,78.24012784797611,409,1,8,0,82.84651574524402,408,,False,1489,2.1938110517334555,0.73
136,154.52152088264896,153.78071087691538,137,1,7,0,159.0736552965041,136,,False,1204,0.9065164743669756,0.41
