dim,bits,var,dp_mse,lloyd_mse,ratio,k_dp,k_lloyd
6,6,0.008663849905133247,5.100977432448417e-06,5.2143259381409734e-06,1.0222209384757366,64,64
6,7,0.008663849905133247,1.2561839639602113e-06,1.3299762713359087e-06,1.0587432330715811,128,128
6,8,0.008663849905133247,3.063517226564727e-07,3.288235745912971e-07,1.0733531110579821,256,256
7,1,0.008056863211095333,0.0029797160532325506,0.0029797160532325506,1.0,2,2
7,2,0.008056863211095333,0.0009631018619984388,0.0009631027351133525,1.0000009065654925,4,4
7,3,0.008056863211095333,0.00028149608988314867,0.00028150787693448365,1.0000418728776654,8,8
7,4,0.008056863211095333,7.590215682284907e-05,7.611031469423324e-05,1.0027424500185154,16,16
7,5,0.008056863211095333,1.9408775187912397e-05,2.055842378467787e-05,1.059233443925996,32,32
7,6,0.008056863211095333,4.879565949522657e-06,5.0567964535730425e-06,1.0363209567989797,64,64
7,7,0.008056863211095333,1.2140189937781543e-06,1.3140102055331226e-06,1.0823637951855969,128,128
7,8,0.008056863211095333,3.016963034951914e-07,3.2365906577069836e-07,1.0727975849258526,256,256
8,1,0.007718311157077551,0.002869610907509923,0.002869610907509923,1.0,2,2
8,2,0.007718311157077551,0.0009283862309530377,0.0009283861145377159,0.9999998746046441,4,4
8,3,0.007718311157077551,0.0002693926217034459,0.0002695467264857143,1.0005720452969127,8,8
8,4,0.007718311157077551,7.301180448848754e-05,7.355961133725941e-05,1.0075029901344001,16,16
8,5,0.007718311157077551,1.9009954485227354e-05,1.946376323758159e-05,1.0238721640657735,32,32
8,6,0.007718311157077551,4.827057182410499e-06,4.975831416231813e-06,1.030820897329213,64,64
8,7,0.007718311157077551,1.2023780300296494e-06,1.2780262750311522e-06,1.0629155249947784,128,128
8,8,0.007718311157077551,2.941825698599132e-07,3.1403445177602407e-07,1.0674815028149498,256,256
9,1,0.007533332798629999,0.0026577264070510864,0.0026577264070510864,1.0,2,2
9,2,0.007533332798629999,0.0008382707601413131,0.0008382707601413131,1.0,4,4
9,3,0.007533332798629999,0.00024368593585677445,0.0002437316143186763,1.0001874480845243,8,8
9,4,0.007533332798629999,6.690674490528181e-05,6.740917160641402e-05,1.0075093580153014,16,16
9,5,0.007533332798629999,1.7458645743317902e-05,1.8127750081475824e-05,1.0383250996666802,32,32
9,6,0.007533332798629999,4.468217866815394e-06,4.618293587554945e-06,1.0335873776106879,64,64
9,7,0.007533332798629999,1.0958876828226494e-06,1.142466203418735e-06,1.042503005851945,128,128
9,8,0.007533332798629999,2.669430898549763e-07,2.874332949431846e-07,1.0767587020115041,256,256
10,1,0.007198045030236244,0.0026201859582215548,0.0026201859582215548,1.0,2,2
10,2,0.007198045030236244,0.0008461123798042536,0.0008461123798042536,1.0,4,4
10,3,0.007198045030236244,0.0002495009102858603,0.00024964212207123637,1.0005659770347703,8,8
10,4,0.007198045030236244,6.83170001138933e-05,6.89670123392716e-05,1.0095146482470636,16,16
10,5,0.007198045030236244,1.7733324057189748e-05,1.8488861314835958e-05,1.0426055067402824,32,32
10,6,0.007198045030236244,4.48880746262148e-06,4.654533313441789e-06,1.0369197948899158,64,64
10,7,0.007198045030236244,1.1139670732518425e-06,1.1921343912035809e-06,1.070170223006283,128,128
10,8,0.007198045030236244,2.744436926604976e-07,2.964379461900535e-07,1.0801412242939175,256,256
11,1,0.007084622047841549,0.002637168625369668,0.002637168625369668,1.0,2,2
11,2,0.007084622047841549,0.00086042849579826,0.00086042849579826,1.0,4,4
11,3,0.007084622047841549,0.00025245241704396904,0.00025245797587558627,1.000022019324205,8,8
11,4,0.007084622047841549,6.91552268108353e-05,6.976777513045818e-05,1.0088575852885049,16,16
11,5,0.007084622047841549,1.8064401956507936e-05,1.835332477639895e-05,1.0159940429019807,32,32
11,6,0.007084622047841549,4.611866188497515e-06,4.764499863085803e-06,1.0330958593224087,64,64
11,7,0.007084622047841549,1.1302194025120116e-06,1.219956175191328e-06,1.0793976571981232,128,128
11,8,0.007084622047841549,2.7875728392245946e-07,3.009320437286078e-07,1.0795486291662844,256,256
12,1,0.0069709899835288525,0.0024829430039972067,0.0024829430039972067,1.0,2,2
12,2,0.0069709899835288525,0.0007859808392822742,0.0007859815959818661,1.0000009627455964,4,4
12,3,0.0069709899835288525,0.0002289575058966875,0.0002290660486323759,1.00047407371627,8,8
12,4,0.0069709899835288525,6.253091851249337e-05,6.334947829600424e-05,1.0130904807251044,16,16
12,5,0.0069709899835288525,1.647633507673163e-05,1.6873904314707033e-05,1.0241297130778109,32,32
12,6,0.0069709899835288525,4.16749071519007e-06,4.289527623768663e-06,1.0292830666985726,64,64
12,7,0.0069709899835288525,1.0365637308495934e-06,1.110743482968246e-06,1.0715631368443241,128,128
12,8,0.0069709899835288525,2.54750972317197e-07,2.7733261731555103e-07,1.0886420365463298,256,256
13,1,0.006862476468086243,0.002514636842533946,0.0025146366097033024,0.9999999074098336,2,2
13,2,0.006862476468086243,0.0008075349032878876,0.0008075349614955485,1.000000072080675,4,4
13,3,0.006862476468086243,0.0002355480974074453,0.00023573795624542981,1.0008060300213595,8,8
13,4,0.006862476468086243,6.443206075346097e-05,6.484756886493415e-05,1.0064487788627938,16,16
13,5,0.006862476468086243,1.6823965779622085e-05,1.73951357282931e-05,1.033949780696941,32,32
13,6,0.006862476468086243,4.293697202228941e-06,4.428319243743317e-06,1.031353408303802,64,64
13,7,0.006862476468086243,1.0684167364161112e-06,1.1368307468728744e-06,1.0640330763501988,128,128
13,8,0.006862476468086243,2.598864909941767e-07,2.7949025138696015e-07,1.0754320100201848,256,256
14,1,0.006774152163416147,0.0024612934794276953,0.0024612934794276953,1.0,2,2
14,2,0.006774152163416147,0.0007796172285452485,0.0007796171703375876,0.9999999253381547,4,4
14,3,0.006774152163416147,0.0002255547879030928,0.0002256137231597677,1.0002612902045787,8,8
14,4,0.006774152163416147,6.22913139523007e-05,6.240165384951979e-05,1.0017713528615495,16,16
14,5,0.006774152163416147,1.6299669368891045e-05,1.652651008043904e-05,1.013916890362263,32,32
14,6,0.006774152163416147,4.144643753534183e-06,4.2726114770630375e-06,1.0308754457894567,64,64
14,7,0.006774152163416147,1.031506485560385e-06,1.105486830965674e-06,1.0717206788720264,128,128
14,8,0.006774152163416147,2.5216542098860373e-07,2.743231561908033e-07,1.0878698400253735,256,256
15,1,0.006618517450988293,0.0023776316083967686,0.002377631375566125,0.9999999020745507,2,2
15,2,0.006618517450988293,0.00076377356890589,0.0007637736271135509,1.000000076210625,4,4
15,3,0.006618517450988293,0.00022522892686538398,0.000225241863518022,1.0000574377937064,8,8
15,4,0.006618517450988293,6.191551801748574e-05,6.205255340319127e-05,1.0022132639779713,16,16
15,5,0.006618517450988293,1.6066356693045236e-05,1.6760222933953628e-05,1.0431875287076597,32,32
15,6,0.006618517450988293,4.044570232508704e-06,4.195892870484386e-06,1.0374137743385956,64,64
